码表编号	码表名称	排序号	代码	名称	上级代码	代码级别	特别说明	启用日期	废止日期	执行标准	系统代码
A0002	存款账户类型	1	0100	定期存款	A0002	1					SMTMODS
A0002	存款账户类型	2	0101	单位定期存款	0100	2					SMTMODS
A0002	存款账户类型	3	0102	储蓄定期存款	0100	2					SMTMODS
A0002	存款账户类型	4	010201	整存整取储蓄存款	0102	3					SMTMODS
A0002	存款账户类型	5	010202	零存整取储蓄存款	0102	3					SMTMODS
A0002	存款账户类型	6	010203	存本取息储蓄存款	0102	3					SMTMODS
A0002	存款账户类型	7	010204	教育储蓄存款	0102	3					SMTMODS
A0002	存款账户类型	8	010205	整存零取储蓄存款	0102	3					SMTMODS
A0002	存款账户类型	9	0200	协议存款	A0002	1					SMTMODS
A0002	存款账户类型	10	0201	普通协议存款	0200	2					SMTMODS
A0002	存款账户类型	11	0202	次级协议存款	0200	2					SMTMODS
A0002	存款账户类型	12	0300	定活两便	A0002	1					SMTMODS
A0002	存款账户类型	13	0400	通知存款	A0002	1					SMTMODS
A0002	存款账户类型	14	0401	一天通知存款	0400	2					SMTMODS
A0002	存款账户类型	15	0402	七天通知存款	0400	2					SMTMODS
A0002	存款账户类型	16	0500	活期存款	A0002	1					SMTMODS
A0002	存款账户类型	17	0600	协定存款	A0002	1					SMTMODS
A0002	存款账户类型	18	0601	结算户存款	0600	2					SMTMODS
A0002	存款账户类型	19	0602	协定户存款	0600	2					SMTMODS
A0002	存款账户类型	20	0700	保证金	A0002	1					SMTMODS
A0002	存款账户类型	21	0701	银行承兑汇票保证金	0700	2					SMTMODS
A0002	存款账户类型	22	0702	信用证保证金	0700	2					SMTMODS
A0002	存款账户类型	23	0703	保函保证金	0700	2					SMTMODS
A0002	存款账户类型	24	0704	外汇买卖保证金	0700	2					SMTMODS
A0002	存款账户类型	25	0705	衍生金融产品保证金	0700	2					SMTMODS
A0002	存款账户类型	26	0706	银行本票保证金	0700	2					SMTMODS
A0002	存款账户类型	27	0707	信用卡保证金	0700	2					SMTMODS
A0002	存款账户类型	28	0708	黄金交易保证金	0700	2					SMTMODS
A0002	存款账户类型	29	0709	证券交易保证金	0700	2					SMTMODS
A0002	存款账户类型	30	0799	其他保证金	0700	2					SMTMODS
A0002	存款账户类型	31	0800	临时存款	A0002	1					SMTMODS
A0002	存款账户类型	32	0801	应解汇款及临时存款	0800	2					SMTMODS
A0002	存款账户类型	33	080101	境外汇入应解汇款	0801	3					SMTMODS
A0002	存款账户类型	34	080102	其他（含沉淀的委托贷款基金）	0801	3					SMTMODS
A0002	存款账户类型	35	0802	汇出汇款	0800	2					SMTMODS
A0002	存款账户类型	36	0803	汇入汇款	0800	2					SMTMODS
A0002	存款账户类型	37	0900	委托存款	A0002	1					SMTMODS
