系统ID	类型	名称	中文名	createTime	数据类型	长度	是否主键	允许为空	计算公式	取数SQL	引用码表	值域	校验规则	发文号	updateTime	生效日期	业务口径	填报说明	研发备注	自动取数	负责人	状态(1正常0停用)	序号	是否初始化项	是否归并公式项	是否填报业务项	代码片段	是否脱敏	脱敏字段类型	reqId	plannedDate	changeDescription
26584	FIELD	DATA_DATE	数据日期		INT		1	1												已上线		1	1	0	0	0		0				
26585	FIELD	ORG_NUM	机构号		VARCHAR2(12)		1	1												已上线		1	2	0	0	0		0				
26586	FIELD	ORG_NAM	机构名称		VARCHAR2(100)		0	1												已上线		1	3	0	0	0		0				
26587	FIELD	ORG_NAM_ENG	机构英文名称		VARCHAR2(256)		0	1												已上线		1	4	0	0	0		0				
26588	FIELD	ORG_TYP	机构类型		CHAR(1)		0	1			P0005									已上线		1	5	0	0	0		0				
26589	FIELD	ORG_STATUS	机构状态		CHAR(1)		0	1			P0006									已上线		1	6	0	0	0		0				
26590	FIELD	REGION_CD	区域代码		CHAR(6)		0	1			C0002									已上线		1	7	0	0	0		0				
26591	FIELD	UP_ORG_NUM	上级机构号		VARCHAR2(12)		0	1												已上线		1	8	0	0	0		0				
26592	FIELD	ORG_OWNLEVEL	机构所属层级		CHAR(1)		0	1			P0007									已上线		1	9	0	0	0		0				
26593	FIELD	NATION_CD	国别代码		CHAR(3)		0	1			C0010									已上线		1	10	0	0	0		0				
26594	FIELD	ID_TYP	证件类别		CHAR(1)		0	1			P0008									已上线		1	11	0	0	0		0				
26595	FIELD	ID_NO	证件号码		VARCHAR2(18)		0	1												已上线		1	12	0	0	0		0				
26596	FIELD	EC_TYP	经济类型		CHAR(3)		0	1			C0011									已上线		1	13	0	0	0		0				
26597	FIELD	THELEAD_DEPARMENT	牵头部门		VARCHAR2(256)		0	1												已上线		1	14	0	0	0		0				
26598	FIELD	THELEAD_DEPARMENT_CONTACTS	牵头部门联系人		VARCHAR2(256)		0	1												已上线		1	15	0	0	0		0				
26599	FIELD	THELEAD_DEPARMENT_TEL	牵头部门联系电话		VARCHAR2(256)		0	1												已上线		1	16	0	0	0		0				
26600	FIELD	BANK_CD	银行机构代码		VARCHAR2(30)		0	1												已上线		1	17	0	0	0		0				
26601	FIELD	FIN_LIN_NUM	金融许可证号		CHAR(15)		0	1												已上线		1	18	0	0	0		0				
26602	FIELD	ACCOUNTBANK	金融机构编码		VARCHAR2(14)		0	1												已上线		1	19	0	0	0		0				
26603	FIELD	BANK_TYPE	机构类别		VARCHAR2(30)		0	1												已上线		1	20	0	0	0		0				
26604	FIELD	ZIP_CD	邮政编码		VARCHAR2(6)		0	1												已上线		1	21	0	0	0		0				
26605	FIELD	BUSI_STATE	营业状态		CHAR(1)		0	1			P0012									已上线		1	22	0	0	0		0				
26606	FIELD	BEGAN_TIME	成立时间		DATE		0	1												已上线		1	23	0	0	0		0				
