[2026-04-28 11:51:35] batch start total=92 model=qwen/qwen3.6-35b-a3b
[2026-04-28 11:51:35] start [1/92] 1.1机构信息.md
[2026-04-28 11:51:37] fail  [1/92] 1.1机构信息.md exit=130
[2026-04-28 11:51:37] start [2/92] 1.2机构关系.md
[2026-04-28 11:51:39] fail  [2/92] 1.2机构关系.md exit=130
[2026-04-28 11:51:39] skip done [3/92] 1.3员工.md
[2026-04-28 11:51:39] skip done [4/92] 1.4岗位信息.md
[2026-04-28 11:51:39] skip done [5/92] 1.5自助机具.md
[2026-04-28 11:51:39] skip done [6/92] 1.6股东及关联方信息.md
[2026-04-28 11:51:39] skip done [7/92] 1.7柜员.md
[2026-04-28 11:51:39] skip done [8/92] 10.1公共代码.md
[2026-04-28 11:51:39] skip done [9/92] 10.2汇率利率.md
[2026-04-28 11:51:39] skip done [10/92] 2.1单一法人基本情况.md
[2026-04-28 11:51:39] skip done [11/92] 2.2集团基本情况.md
[2026-04-28 11:51:39] skip done [12/92] 2.3同业客户基本情况.md
[2026-04-28 11:51:39] skip done [13/92] 2.4个体工商户及小微企业主基本情况.md
[2026-04-28 11:51:39] skip done [14/92] 2.5个人客户基本情况.md
[2026-04-28 11:51:39] skip done [15/92] 2.6客户财务信息.md
[2026-04-28 11:51:39] skip done [16/92] 2.7收单商户信息表.md
[2026-04-28 11:51:39] skip done [17/92] 3.1重要股东及主要关联企业.md
[2026-04-28 11:51:39] skip done [18/92] 3.2高管及重要关系人信息.md
[2026-04-28 11:51:39] skip done [19/92] 3.3集团成员名单.md
[2026-04-28 11:51:39] skip done [20/92] 3.4集团实际控制人.md
[2026-04-28 11:51:39] skip done [21/92] 3.5关联集团信息.md
[2026-04-28 11:51:39] skip done [22/92] 3.6共同债务人.md
[2026-04-28 11:51:39] skip done [23/92] 3.7个人客户关系人.md
[2026-04-28 11:51:39] skip done [24/92] 3.8交易与单据对应关系.md
[2026-04-28 11:51:39] skip done [25/92] 4.1总账会计全科目.md
[2026-04-28 11:51:39] skip done [26/92] 4.2科目信息.md
[2026-04-28 11:51:39] skip done [27/92] 4.3分户账信息.md
[2026-04-28 11:51:39] skip done [28/92] 4.4分户账变动情况.md
[2026-04-28 11:51:39] skip done [29/92] 5.1产品业务基本信息.md
[2026-04-28 11:51:39] skip done [30/92] 5.3债券产品业务.md
[2026-04-28 11:51:39] skip done [31/92] 5.4理财产品业务.md
[2026-04-28 11:51:39] skip done [32/92] 5.5代销保险产品业务.md
[2026-04-28 11:51:39] skip done [33/92] 5.6卡产品.md
[2026-04-28 11:51:39] skip done [34/92] 6.10贸易融资协议.md
[2026-04-28 11:51:39] skip done [35/92] 6.11信用证协议.md
[2026-04-28 11:51:39] skip done [36/92] 6.12保函及其他担保协议.md
[2026-04-28 11:51:39] skip done [37/92] 6.13票据协议.md
[2026-04-28 11:51:39] skip done [38/92] 6.14票据转贴现协议.md
[2026-04-28 11:51:39] skip done [39/92] 6.15房地产贷款协议.md
[2026-04-28 11:51:39] skip done [40/92] 6.16融资租赁协议.md
[2026-04-28 11:51:40] skip done [41/92] 6.17理财协议.md
[2026-04-28 11:51:40] skip done [42/92] 6.18委托贷款协议.md
[2026-04-28 11:51:40] skip done [43/92] 6.19代理协议.md
[2026-04-28 11:51:40] skip done [44/92] 6.1存款协议.md
[2026-04-28 11:51:40] skip done [45/92] 6.21投资协议.md
[2026-04-28 11:51:40] skip done [46/92] 6.23信贷资产转让协议.md
[2026-04-28 11:51:40] skip done [47/92] 6.24贷款承诺.md
[2026-04-28 11:51:40] skip done [48/92] 6.25互联网贷款合作协议.md
[2026-04-28 11:51:40] skip done [49/92] 6.26其他协议.md
[2026-04-28 11:51:40] skip done [50/92] 6.27贷款协议补充信息.md
[2026-04-28 11:51:40] skip done [51/92] 6.28介质协议表.md
[2026-04-28 11:51:40] skip done [52/92] 6.2贷款协议.md
[2026-04-28 11:51:40] skip done [53/92] 6.3项目贷款协议.md
[2026-04-28 11:51:40] skip done [54/92] 6.4互联网贷款协议.md
[2026-04-28 11:51:40] skip done [55/92] 6.5银团贷款协议.md
[2026-04-28 11:51:40] skip done [56/92] 6.6受托支付信息.md
[2026-04-28 11:51:40] skip done [57/92] 6.7贷款展期协议.md
[2026-04-28 11:51:40] skip done [58/92] 6.8担保协议.md
[2026-04-28 11:51:40] skip done [59/92] 6.9信用卡协议.md
[2026-04-28 11:51:40] skip done [60/92] 7.10内部分户账交易.md
[2026-04-28 11:51:40] skip done [61/92] 7.11理财及代销产品交易.md
[2026-04-28 11:51:40] skip done [62/92] 7.12融资交易.md
[2026-04-28 11:51:40] skip done [63/92] 7.1客户存款账户交易.md
[2026-04-28 11:51:40] skip done [64/92] 7.2信贷交易.md
[2026-04-28 11:51:40] start [65/92] 7.3贸易融资交易.md
[2026-04-28 11:59:19] done  [65/92] 7.3贸易融资交易.md
[2026-04-28 11:59:19] start [66/92] 7.4信用卡交易.md
